10000,2579,ets,7329,-181128
10000,2579,pd,5251,1283760
10000,2579,dict,27377,1944584
10000,2579,gb_trees,23932,1201816
10000,2579,map_get,10971,1944584
10000,2579,map_find,11152,1944584
10000,2579,map_match,10035,3747320
10000,2579,ets,9258,-181128
10000,2579,pd,4926,1283760
10000,2579,dict,30593,1944584
10000,2579,gb_trees,23692,1201816
10000,2579,map_get,13867,1944584
10000,2579,map_find,10392,1944584
10000,2579,map_match,9365,3747320
20000,7970,ets,14579,849096
20000,7970,pd,12415,1737064
20000,7970,dict,59670,3146408
20000,7970,gb_trees,46876,3146408
20000,7970,map_get,20145,3146408
20000,7970,map_find,20696,3146408
20000,7970,map_match,19917,3146408
20000,7970,ets,15693,849096
20000,7970,pd,12271,1737064
20000,7970,dict,59189,3146408
20000,7970,gb_trees,47431,3146408
20000,7970,map_get,19913,3146408
20000,7970,map_find,20378,3146408
20000,7970,map_match,15018,3146408
30000,15144,ets,23350,1015952
30000,15144,pd,13498,1737072
30000,15144,dict,87750,2174112
30000,15144,gb_trees,81349,5091000
30000,15144,map_get,36555,7024752
30000,15144,map_find,37828,7024752
30000,15144,map_match,33446,7024752
30000,15144,ets,22749,1015952
30000,15144,pd,11881,1737072
30000,15144,dict,87578,2174112
30000,15144,gb_trees,80951,5091000
30000,15144,map_get,36190,7024752
30000,15144,map_find,40769,7024752
30000,15144,map_match,31368,7024752
40000,23518,ets,32276,-2023920
40000,23518,pd,19290,2709368
40000,23518,dict,159489,7050952
40000,23518,gb_trees,111731,5451544
40000,23518,map_get,54447,5451544
40000,23518,map_find,45875,5451544
40000,23518,map_match,44131,7050952
40000,23518,ets,29196,-2023920
40000,23518,pd,14900,2709368
40000,23518,dict,160499,7050952
40000,23518,gb_trees,120180,5451544
40000,23518,map_get,47602,5451544
40000,23518,map_find,43552,5451544
40000,23518,map_match,43844,7050952
50000,32460,ets,40973,3731280
50000,32460,pd,23771,2709368
50000,32460,dict,197342,5451544
50000,32460,gb_trees,141819,5451544
50000,32460,map_get,66015,7050952
50000,32460,map_find,65380,7050952
50000,32460,map_match,62068,7050952
50000,32460,ets,38207,3731280
50000,32460,pd,22373,2709368
50000,32460,dict,192814,5451544
50000,32460,gb_trees,138586,5451544
50000,32460,map_get,62748,7050952
50000,32460,map_find,58626,7050952
50000,32460,map_match,59832,7050952
60000,41822,ets,43459,3779640
60000,41822,pd,32347,3681656
60000,41822,dict,219237,5451544
60000,41822,gb_trees,155768,5451544
60000,41822,map_get,77400,5451544
60000,41822,map_find,82612,5451544
60000,41822,map_match,78009,7050952
60000,41822,ets,46302,3779640
60000,41822,pd,33012,3681656
60000,41822,dict,233326,5451544
60000,41822,gb_trees,159960,5451544
60000,41822,map_get,74554,5451544
60000,41822,map_find,71178,5451544
60000,41822,map_match,71788,7050952
70000,51566,ets,49184,-1288856
70000,51566,pd,29929,163864
70000,51566,dict,274621,4505448
70000,51566,gb_trees,200432,4505448
70000,51566,map_get,97097,6424736
70000,51566,map_find,87982,6424736
70000,51566,map_match,84456,6424736
70000,51566,ets,49823,-1288856
70000,51566,pd,29407,163864
70000,51566,dict,261591,4505448
70000,51566,gb_trees,208660,4505448
70000,51566,map_get,92317,6424736
70000,51566,map_find,88021,6424736
70000,51566,map_match,83674,6424736
80000,61443,ets,57261,2602592
80000,61443,pd,35445,1496704
80000,61443,dict,326507,9700176
80000,61443,gb_trees,226170,4505448
